,As At Month,Visa Type,Occupation,Points,Count EOIs,Nominated State,Probabilitas_Lodged
1591508,2026-01-01,491SNR State or Territory Nominated - Regional,233211 Civil Engineer,80,10,QLD,0.9997637
1400095,2025-11-01,491SNR State or Territory Nominated - Regional,233512 Mechanical Engineer,85,10,QLD,0.99969697
1512410,2025-12-01,491SNR State or Territory Nominated - Regional,351311 Chef,85,10,SA,0.99965024
1429455,2025-11-01,190SAS Skilled Australian Sponsored,241111 Early Childhood (Pre-primary School) Teacher,75,10,VIC,0.99960905
1726413,2026-02-01,491SNR State or Territory Nominated - Regional,233311 Electrical Engineer,85,10,VIC,0.9996049
1437775,2025-11-01,491SNR State or Territory Nominated - Regional,261313 Software Engineer,85,10,VIC,0.99951154
1621246,2026-01-01,190SAS Skilled Australian Sponsored,233914 Engineering Technologist,80,10,VIC,0.99947906
1405469,2025-11-01,190SAS Skilled Australian Sponsored,225113 Marketing Specialist,80,10,SA,0.99947584
1407933,2025-11-01,190SAS Skilled Australian Sponsored,261111 ICT Business Analyst,85,10,SA,0.9994745
1637964,2026-01-01,190SAS Skilled Australian Sponsored,312211 Civil Engineering Draftsperson,80,51,WA,0.9994516
1721206,2026-02-01,190SAS Skilled Australian Sponsored,254499 Registered Nurses nec,70,10,VIC,0.9994122
1434414,2025-11-01,491SNR State or Territory Nominated - Regional,221111 Accountant (General),90,23,VIC,0.99936885
1431103,2025-11-01,190SAS Skilled Australian Sponsored,262112 ICT Security Specialist,80,10,VIC,0.9992926
1439168,2025-11-01,491SNR State or Territory Nominated - Regional,321211 Motor Mechanic (General),80,10,VIC,0.99925697
1445879,2025-11-01,190SAS Skilled Australian Sponsored,331212 Carpenter,70,53,WA,0.99924505
1476145,2025-12-01,491SNR State or Territory Nominated - Regional,261112 Systems Analyst,85,10,NSW,0.9992266
1623364,2026-01-01,190SAS Skilled Australian Sponsored,261312 Developer Programmer,75,10,VIC,0.9992058
1526826,2025-12-01,190SAS Skilled Australian Sponsored,261399 Software and Applications Programmers nec,85,10,VIC,0.9991456
1426347,2025-11-01,190SAS Skilled Australian Sponsored,133111 Construction Project Manager,80,10,VIC,0.99904346
1718433,2026-02-01,190SAS Skilled Australian Sponsored,232111 Architect,80,10,VIC,0.99898213
1721711,2026-02-01,190SAS Skilled Australian Sponsored,263111 Computer Network and Systems Engineer,80,10,VIC,0.9989615
1549589,2025-12-01,491SNR State or Territory Nominated - Regional,411411 Enrolled Nurse,80,10,WA,0.998948
1521983,2025-12-01,190SAS Skilled Australian Sponsored,131112 Sales and Marketing Manager,75,10,VIC,0.998914
1721395,2026-02-01,190SAS Skilled Australian Sponsored,261311 Analyst Programmer,95,10,VIC,0.998905
1473995,2025-12-01,491SNR State or Territory Nominated - Regional,233111 Chemical Engineer,80,10,NSW,0.9989008
1536711,2025-12-01,190SAS Skilled Australian Sponsored,141111 Cafe or Restaurant Manager,85,21,WA,0.9988869
1720042,2026-02-01,190SAS Skilled Australian Sponsored,241411 Secondary School Teacher,75,56,VIC,0.9988748
1549384,2025-12-01,491SNR State or Territory Nominated - Regional,351411 Cook,90,52,WA,0.99886036
1409104,2025-11-01,190SAS Skilled Australian Sponsored,312212 Civil Engineering Technician,80,10,SA,0.99880904
1429868,2025-11-01,190SAS Skilled Australian Sponsored,251511 Hospital Pharmacist,75,10,VIC,0.9986929
1430515,2025-11-01,190SAS Skilled Australian Sponsored,254418 Registered Nurse (Medical),70,10,VIC,0.9986892
1442167,2025-11-01,190SAS Skilled Australian Sponsored,233411 Electronics Engineer,85,10,WA,0.9986798
1427217,2025-11-01,190SAS Skilled Australian Sponsored,221213 External Auditor,85,10,VIC,0.99867404
1542524,2025-12-01,190SAS Skilled Australian Sponsored,411711 Community Worker,80,36,WA,0.9985924
1427374,2025-11-01,190SAS Skilled Australian Sponsored,222311 Financial Investment Adviser,85,10,VIC,0.9985695
1622921,2026-01-01,190SAS Skilled Australian Sponsored,254415 Registered Nurse (Critical Care and Emergency),70,10,VIC,0.99852675
1684008,2026-02-01,190SAS Skilled Australian Sponsored,242111 University Lecturer,80,10,QLD,0.99848986
1406129,2025-11-01,190SAS Skilled Australian Sponsored,233511 Industrial Engineer,75,10,SA,0.9984783
1445017,2025-11-01,190SAS Skilled Australian Sponsored,272613 Welfare Worker,70,10,WA,0.99837697
1732968,2026-02-01,190SAS Skilled Australian Sponsored,233213 Quantity Surveyor,80,10,WA,0.99827546
1736189,2026-02-01,190SAS Skilled Australian Sponsored,312111 Architectural Draftsperson,85,10,WA,0.9982551
1596933,2026-01-01,190SAS Skilled Australian Sponsored,223112 Recruitment Consultant,80,10,SA,0.9981567
1499350,2025-12-01,190SAS Skilled Australian Sponsored,132211 Finance Manager,75,10,SA,0.9981311
1722175,2026-02-01,190SAS Skilled Australian Sponsored,272511 Social Worker,70,10,VIC,0.99796474
1719991,2026-02-01,190SAS Skilled Australian Sponsored,241213 Primary School Teacher,85,10,VIC,0.9979597
1527156,2025-12-01,190SAS Skilled Australian Sponsored,263311 Telecommunications Engineer,75,10,VIC,0.9979059
1694924,2026-02-01,190SAS Skilled Australian Sponsored,224999 Information and Organisation Professionals nec,80,10,SA,0.9978838
1705011,2026-02-01,491SNR State or Territory Nominated - Regional,263212 ICT Support Engineer,75,10,SA,0.9977048
1720689,2026-02-01,190SAS Skilled Australian Sponsored,253111 General Practitioner,75,10,VIC,0.997555
1528393,2025-12-01,190SAS Skilled Australian Sponsored,332211 Painting Trades Worker,70,10,VIC,0.9975282
1717227,2026-02-01,190SAS Skilled Australian Sponsored,141311 Hotel or Motel Manager,80,10,VIC,0.9973559
1703970,2026-02-01,491SNR State or Territory Nominated - Regional,251513 Retail Pharmacist,90,10,SA,0.9973296
1507254,2025-12-01,491SNR State or Territory Nominated - Regional,223111 Human Resource Adviser,85,10,SA,0.9972463
1525857,2025-12-01,190SAS Skilled Australian Sponsored,252511 Physiotherapist,70,10,VIC,0.9972376
1661690,2026-02-01,190SAS Skilled Australian Sponsored,254412 Registered Nurse (Aged Care),80,10,NSW,0.9971877
1718002,2026-02-01,190SAS Skilled Australian Sponsored,224113 Statistician,95,10,VIC,0.997174
1699981,2026-02-01,190SAS Skilled Australian Sponsored,511112 Program or Project Administrator,75,10,SA,0.9971008
1567117,2026-01-01,190SAS Skilled Australian Sponsored,341111 Electrician (General),70,10,NSW,0.996916
1541808,2025-12-01,190SAS Skilled Australian Sponsored,331111 Bricklayer,70,10,WA,0.9968081
1528159,2025-12-01,190SAS Skilled Australian Sponsored,322313 Welder (First Class),70,10,VIC,0.9966301
1697793,2026-02-01,190SAS Skilled Australian Sponsored,261314 Software Tester,75,10,SA,0.9966127
1719362,2026-02-01,190SAS Skilled Australian Sponsored,233999 Engineering Professionals nec,90,10,VIC,0.99650735
1427666,2025-11-01,190SAS Skilled Australian Sponsored,224711 Management Consultant,85,10,VIC,0.99649054
1524173,2025-12-01,190SAS Skilled Australian Sponsored,233214 Structural Engineer,90,10,VIC,0.9963059
1623082,2026-01-01,190SAS Skilled Australian Sponsored,254424 Registered Nurse (Surgical),70,10,VIC,0.99619144
1522918,2025-12-01,190SAS Skilled Australian Sponsored,221112 Management Accountant,85,10,VIC,0.99606836
1561051,2026-01-01,190SAS Skilled Australian Sponsored,135112 ICT Project Manager,85,10,NSW,0.9960295
1561628,2026-01-01,190SAS Skilled Australian Sponsored,221113 Taxation Accountant,90,10,NSW,0.99550277
1428882,2025-11-01,190SAS Skilled Australian Sponsored,234111 Agricultural Consultant,80,10,VIC,0.9954849
1647417,2026-02-01,190SAS Skilled Australian Sponsored,221214 Internal Auditor,50,10,ACT,0.99534565
1695737,2026-02-01,190SAS Skilled Australian Sponsored,233513 Production or Plant Engineer,85,10,SA,0.9951509
1375729,2025-11-01,190SAS Skilled Australian Sponsored,323211 Fitter (General),75,10,NSW,0.99465644
1536815,2025-12-01,190SAS Skilled Australian Sponsored,149311 Conference and Event Organiser,75,10,WA,0.9945515
1662665,2026-02-01,190SAS Skilled Australian Sponsored,263213 ICT Systems Test Engineer,55,10,NSW,0.9944301
1719833,2026-02-01,190SAS Skilled Australian Sponsored,234611 Medical Laboratory Scientist,90,10,VIC,0.9941342
1598562,2026-01-01,190SAS Skilled Australian Sponsored,234514 Biotechnologist,90,10,SA,0.9940832
1721113,2026-02-01,190SAS Skilled Australian Sponsored,254423 Registered Nurse (Perioperative),70,10,VIC,0.993992
1499620,2025-12-01,190SAS Skilled Australian Sponsored,134299 Health and Welfare Services Managers nec,75,10,SA,0.9939195
1735363,2026-02-01,190SAS Skilled Australian Sponsored,262111 Database Administrator,55,10,WA,0.9936419
1468323,2025-12-01,190SAS Skilled Australian Sponsored,252711 Audiologist,70,10,NSW,0.99353033
1697923,2026-02-01,190SAS Skilled Australian Sponsored,262113 Systems Administrator,75,10,SA,0.9930568
1429353,2025-11-01,190SAS Skilled Australian Sponsored,234711 Veterinarian,60,10,VIC,0.9924929
1427699,2025-11-01,190SAS Skilled Australian Sponsored,224712 Organisation and Methods Analyst,80,10,VIC,0.99240553
1406540,2025-11-01,190SAS Skilled Australian Sponsored,234212 Food Technologist,80,10,SA,0.9918174
1722093,2026-02-01,190SAS Skilled Australian Sponsored,272314 Psychotherapist,80,10,VIC,0.9917359
1597553,2026-01-01,190SAS Skilled Australian Sponsored,232411 Graphic Designer,80,10,SA,0.9915469
1560895,2026-01-01,190SAS Skilled Australian Sponsored,133512 Production Manager (Manufacturing),80,33,NSW,0.99085057
1638651,2026-01-01,190SAS Skilled Australian Sponsored,333411 Wall and Floor Tiler,70,10,WA,0.9908431
1373474,2025-11-01,190SAS Skilled Australian Sponsored,253112 Resident Medical Officer,75,10,NSW,0.9907898
1622511,2026-01-01,190SAS Skilled Australian Sponsored,252411 Occupational Therapist,70,10,VIC,0.9896825
1404659,2025-11-01,190SAS Skilled Australian Sponsored,149913 Facilities Manager,75,10,SA,0.98940736
1502671,2025-12-01,190SAS Skilled Australian Sponsored,251512 Industrial Pharmacist,45,10,SA,0.9894044
1375980,2025-11-01,190SAS Skilled Australian Sponsored,334111 Plumber (General),70,10,NSW,0.98937756
1647565,2026-02-01,190SAS Skilled Australian Sponsored,223211 ICT Trainer,75,10,ACT,0.98926604
1431445,2025-11-01,190SAS Skilled Australian Sponsored,271311 Solicitor,85,10,VIC,0.98913395
1428148,2025-11-01,190SAS Skilled Australian Sponsored,232414 Web Designer,85,10,VIC,0.98868877
1736047,2026-02-01,190SAS Skilled Australian Sponsored,311215 Pharmacy Technician,75,10,WA,0.9877034
1404170,2025-11-01,190SAS Skilled Australian Sponsored,133211 Engineering Manager,80,10,SA,0.98718745
1409797,2025-11-01,190SAS Skilled Australian Sponsored,342313 Electronic Equipment Trades Worker,70,10,SA,0.9870036
1476796,2025-12-01,491SNR State or Territory Nominated - Regional,263312 Telecommunications Network Engineer,60,10,NSW,0.98687
1458978,2025-12-01,491SNR State or Territory Nominated - Regional,132511 Research and Development Manager,85,10,ACT,0.9865586
1695074,2026-02-01,190SAS Skilled Australian Sponsored,225311 Public Relations Professional,80,10,SA,0.98559225
1426297,2025-11-01,190SAS Skilled Australian Sponsored,132311 Human Resource Manager,80,10,VIC,0.9851403
1600380,2026-01-01,190SAS Skilled Australian Sponsored,263299 ICT Support and Test Engineers nec,95,10,SA,0.9849603
1730407,2026-02-01,491SNR State or Territory Nominated - Regional,341112 Electrician (Special Class),60,10,VIC,0.9845524
1652190,2026-02-01,491SNR State or Territory Nominated - Regional,135199 ICT Managers nec,80,10,ACT,0.9838429
1736012,2026-02-01,190SAS Skilled Australian Sponsored,311213 Medical Laboratory Technician,80,10,WA,0.983124
1613375,2026-01-01,190SAS Skilled Australian Sponsored,331211 Carpenter and Joiner,65,10,TAS,0.9828044
1667598,2026-02-01,491SNR State or Territory Nominated - Regional,233611 Mining Engineer (excluding Petroleum),60,10,NSW,0.9827246
1407149,2025-11-01,190SAS Skilled Australian Sponsored,249299 Private Tutors and Teachers nec,70,10,SA,0.98156494
1587123,2026-01-01,190SAS Skilled Australian Sponsored,253999 Medical Practitioners nec,90,10,QLD,0.9811438
1463002,2025-12-01,491SNR State or Territory Nominated - Regional,272612 Recreation Officer,80,10,ACT,0.98023534
1428037,2025-11-01,190SAS Skilled Australian Sponsored,232214 Other Spatial Scientist,85,10,VIC,0.979761
1653155,2026-02-01,491SNR State or Territory Nominated - Regional,224912 Liaison Officer,65,10,ACT,0.97925997
1569331,2026-01-01,491SNR State or Territory Nominated - Regional,223113 Workplace Relations Adviser,95,10,NSW,0.9787607
1430565,2025-11-01,190SAS Skilled Australian Sponsored,254422 Registered Nurse (Mental Health),80,10,VIC,0.9785449
1410243,2025-11-01,190SAS Skilled Australian Sponsored,511111 Contract Administrator,75,10,SA,0.9785405
1466437,2025-12-01,190SAS Skilled Australian Sponsored,232611 Urban and Regional Planner,75,10,NSW,0.9777046
1688346,2026-02-01,491SNR State or Territory Nominated - Regional,222312 Financial Investment Manager,75,10,QLD,0.97766626
1402897,2025-11-01,491SNR State or Territory Nominated - Regional,313213 Telecommunications Network Planner,80,10,QLD,0.97712374
1442738,2025-11-01,190SAS Skilled Australian Sponsored,234411 Geologist,85,10,WA,0.9764873
1430654,2025-11-01,190SAS Skilled Australian Sponsored,254425 Registered Nurse (Paediatrics),70,10,VIC,0.9759442
1565945,2026-01-01,190SAS Skilled Australian Sponsored,272399 Psychologists nec,80,10,NSW,0.97574055
1409332,2025-11-01,190SAS Skilled Australian Sponsored,321111 Automotive Electrician,75,10,SA,0.97554296
1596370,2026-01-01,190SAS Skilled Australian Sponsored,149212 Customer Service Manager,80,10,SA,0.97516966
1413992,2025-11-01,491SNR State or Territory Nominated - Regional,249311 Teacher of English to Speakers of Other Languages,95,10,SA,0.9751118
1419129,2025-11-01,190SAS Skilled Australian Sponsored,234312 Environmental Consultant,90,10,TAS,0.974975
1619954,2026-01-01,190SAS Skilled Australian Sponsored,224111 Actuary,85,10,VIC,0.9744607
1695146,2026-02-01,190SAS Skilled Australian Sponsored,232112 Landscape Architect,85,10,SA,0.97412115
1596501,2026-01-01,190SAS Skilled Australian Sponsored,212314 Film and Video Editor,75,10,SA,0.97369516
1504712,2025-12-01,190SAS Skilled Australian Sponsored,313212 Telecommunications Field Engineer,65,10,SA,0.9736246
1474709,2025-12-01,491SNR State or Territory Nominated - Regional,234211 Chemist,90,10,NSW,0.97361654
1693811,2026-02-01,190SAS Skilled Australian Sponsored,134311 School Principal,55,10,SA,0.9730315
1463377,2025-12-01,491SNR State or Territory Nominated - Regional,312311 Electrical Engineering Draftsperson,65,10,ACT,0.9727917
1693954,2026-02-01,190SAS Skilled Australian Sponsored,139914 Quality Assurance Manager,80,10,SA,0.9718444
1402919,2025-11-01,491SNR State or Territory Nominated - Regional,313214 Telecommunications Technical Officer or Technologist,90,10,QLD,0.9711879
1416310,2025-11-01,491SNR State or Territory Nominated - Regional,322311 Metal Fabricator,75,10,SA,0.97010803
1405443,2025-11-01,190SAS Skilled Australian Sponsored,225111 Advertising Specialist,85,10,SA,0.9699783
1383337,2025-11-01,491SNR State or Territory Nominated - Regional,342111 Airconditioning and Refrigeration Mechanic,75,10,NSW,0.9699116
1378802,2025-11-01,491SNR State or Territory Nominated - Regional,232212 Surveyor,80,10,NSW,0.96958315
1559013,2026-01-01,491SNR State or Territory Nominated - Regional,272115 Student Counsellor,85,10,ACT,0.96933144
1464401,2025-12-01,491SNR State or Territory Nominated - Regional,612112 Property Manager,85,10,ACT,0.9687977
1695813,2026-02-01,190SAS Skilled Australian Sponsored,233911 Aeronautical Engineer,90,10,SA,0.9678514
1596028,2026-01-01,190SAS Skilled Australian Sponsored,133611 Supply and Distribution Manager,80,10,SA,0.96765167
1403114,2025-11-01,491SNR State or Territory Nominated - Regional,323214 Metal Machinist (First Class),70,10,QLD,0.9656129
1425721,2025-11-01,491SNR State or Territory Nominated - Regional,341113 Lift Mechanic,70,10,TAS,0.9655539
1396803,2025-11-01,190SAS Skilled Australian Sponsored,311399 Primary Products Inspectors nec,70,10,QLD,0.9649923
1429517,2025-11-01,190SAS Skilled Australian Sponsored,241311 Middle School Teacher,60,10,VIC,0.96459186
1700459,2026-02-01,491SNR State or Territory Nominated - Regional,133513 Production Manager (Mining),60,10,SA,0.9635383
1404292,2025-11-01,190SAS Skilled Australian Sponsored,134213 Primary Health Organisation Manager,75,10,SA,0.9634885
1463551,2025-12-01,491SNR State or Territory Nominated - Regional,313113 Web Administrator,75,10,ACT,0.96348083
1670390,2026-02-01,491SNR State or Territory Nominated - Regional,311111 Agricultural Technician,75,10,NSW,0.96291566
1404032,2025-11-01,190SAS Skilled Australian Sponsored,132111 Corporate Services Manager,75,10,SA,0.9623158
1385711,2025-11-01,190SAS Skilled Australian Sponsored,234313 Environmental Research Scientist,80,10,NT,0.9619098
1697993,2026-02-01,190SAS Skilled Australian Sponsored,263112 Network Administrator,80,10,SA,0.9617957
1375385,2025-11-01,190SAS Skilled Australian Sponsored,312512 Mechanical Engineering Technician,75,10,NSW,0.9617582
1555956,2026-01-01,491SNR State or Territory Nominated - Regional,222111 Commodities Trader,70,10,ACT,0.9614875
1507113,2025-12-01,491SNR State or Territory Nominated - Regional,222112 Finance Broker,80,10,SA,0.95966816
1693895,2026-02-01,190SAS Skilled Australian Sponsored,139911 Arts Administrator or Manager,60,10,SA,0.95929354
1574375,2026-01-01,491SNR State or Territory Nominated - Regional,334112 Airconditioning and Mechanical Services Plumber,75,10,NSW,0.9587471
1509399,2025-12-01,491SNR State or Territory Nominated - Regional,249111 Education Adviser,60,10,SA,0.9586581
1733272,2026-02-01,190SAS Skilled Australian Sponsored,233612 Petroleum Engineer,90,10,WA,0.9586129
1705730,2026-02-01,491SNR State or Territory Nominated - Regional,312114 Construction Estimator,75,10,SA,0.95841247
1698038,2026-02-01,190SAS Skilled Australian Sponsored,263211 ICT Quality Assurance Engineer,80,10,SA,0.9578282
1638360,2026-01-01,190SAS Skilled Australian Sponsored,323111 Aircraft Maintenance Engineer (Avionics),55,10,WA,0.95766664
1460622,2025-12-01,491SNR State or Territory Nominated - Regional,232511 Interior Designer,60,10,ACT,0.9573839
1505217,2025-12-01,190SAS Skilled Australian Sponsored,342212 Technical Cable Jointer,70,10,SA,0.9558518
1717242,2026-02-01,190SAS Skilled Australian Sponsored,141999 Accommodation and Hospitality Managers nec,60,10,VIC,0.9548654
1559024,2026-01-01,491SNR State or Territory Nominated - Regional,272199 Counsellors nec,65,10,ACT,0.954242
1512354,2025-12-01,491SNR State or Territory Nominated - Regional,351111 Baker,75,10,SA,0.9541565
1631137,2026-01-01,491SNR State or Territory Nominated - Regional,311216 Pathology Collector,70,10,VIC,0.95331234
1403957,2025-11-01,190SAS Skilled Australian Sponsored,121221 Vegetable Grower,70,10,SA,0.95290303
1386307,2025-11-01,190SAS Skilled Australian Sponsored,254416 Registered Nurse (Developmental Disability),70,10,NT,0.9528233
1375753,2025-11-01,190SAS Skilled Australian Sponsored,323212 Fitter and Turner,85,10,NSW,0.952726
1396898,2025-11-01,190SAS Skilled Australian Sponsored,312113 Building Inspector,60,10,QLD,0.9523613
1685970,2026-02-01,190SAS Skilled Australian Sponsored,"312199 Architectural, Building and Surveying Technicians nec",80,10,QLD,0.95227593
1618572,2026-01-01,491SNR State or Territory Nominated - Regional,599612 Insurance Loss Adjuster,65,10,TAS,0.95191365
1596510,2026-01-01,190SAS Skilled Australian Sponsored,212315 Program Director (Television or Radio),50,10,SA,0.9500295
1504659,2025-12-01,190SAS Skilled Australian Sponsored,313112 ICT Customer Support Officer,75,10,SA,0.9492194
1409892,2025-11-01,190SAS Skilled Australian Sponsored,351112 Pastrycook,70,10,SA,0.9491232
1699500,2026-02-01,190SAS Skilled Australian Sponsored,342314 Electronic Instrument Trades Worker (General),80,10,SA,0.9483873
1705650,2026-02-01,491SNR State or Territory Nominated - Regional,311499 Science Technicians nec,80,10,SA,0.9481366
1432606,2025-11-01,190SAS Skilled Australian Sponsored,333111 Glazier,65,10,VIC,0.9477375
1416285,2025-11-01,491SNR State or Territory Nominated - Regional,321212 Diesel Motor Mechanic,75,10,SA,0.9466187
1405589,2025-11-01,190SAS Skilled Australian Sponsored,225499 Technical Sales Representatives nec,80,10,SA,0.9465431
1404923,2025-11-01,190SAS Skilled Australian Sponsored,221211 Company Secretary,45,10,SA,0.94510335
1397346,2025-11-01,190SAS Skilled Australian Sponsored,323213 Fitter-Welder,65,10,QLD,0.94479
1706918,2026-02-01,491SNR State or Territory Nominated - Regional,391111 Hairdresser,80,10,SA,0.9445478
1599862,2026-01-01,190SAS Skilled Australian Sponsored,261211 Multimedia Specialist,75,10,SA,0.9437276
1621733,2026-01-01,190SAS Skilled Australian Sponsored,234517 Microbiologist,85,10,VIC,0.9435932
1464136,2025-12-01,491SNR State or Territory Nominated - Regional,411311 Diversional Therapist,75,10,ACT,0.942589
1477262,2025-12-01,491SNR State or Territory Nominated - Regional,311411 Chemistry Technician,55,10,NSW,0.9423327
1573848,2026-01-01,491SNR State or Territory Nominated - Regional,313111 Hardware Technician,65,10,NSW,0.9422956
1697205,2026-02-01,190SAS Skilled Australian Sponsored,254111 Midwife,70,10,SA,0.94164497
1682436,2026-02-01,190SAS Skilled Australian Sponsored,225211 ICT Account Manager,60,10,QLD,0.93968964
1718838,2026-02-01,190SAS Skilled Australian Sponsored,233212 Geotechnical Engineer,85,10,VIC,0.9374964
1426402,2025-11-01,190SAS Skilled Australian Sponsored,133411 Manufacturer,55,10,VIC,0.93693936
1405525,2025-11-01,190SAS Skilled Australian Sponsored,225212 ICT Business Development Manager,80,10,SA,0.93607783
1599347,2026-01-01,190SAS Skilled Australian Sponsored,252712 Speech Pathologist,65,10,SA,0.9358608
1692775,2026-02-01,491SNR State or Territory Nominated - Regional,342211 Electrical Linesworker,65,10,QLD,0.93519264
1566912,2026-01-01,190SAS Skilled Australian Sponsored,331112 Stonemason,75,10,NSW,0.9339047
1505891,2025-12-01,491SNR State or Territory Nominated - Regional,121321 Poultry Farmer,80,10,SA,0.9335474
1485284,2025-12-01,491SNR State or Territory Nominated - Regional,242211 Vocational Education Teacher,90,10,NT,0.93321806
1417224,2025-11-01,491SNR State or Territory Nominated - Regional,452321 Sports Development Officer,75,10,SA,0.93309015
1597327,2026-01-01,190SAS Skilled Australian Sponsored,225213 ICT Sales Representative,50,10,SA,0.9329561
1406310,2025-11-01,190SAS Skilled Australian Sponsored,233913 Biomedical Engineer,50,10,SA,0.9328178
1406685,2025-11-01,190SAS Skilled Australian Sponsored,234511 Life Scientist (General),90,10,SA,0.9309249
1566073,2026-01-01,190SAS Skilled Australian Sponsored,311211 Anaesthetic Technician,55,10,NSW,0.930639
1664381,2026-02-01,190SAS Skilled Australian Sponsored,361112 Horse Trainer,70,10,NSW,0.93032295
1706992,2026-02-01,491SNR State or Territory Nominated - Regional,411112 Intensive Care Ambulance Paramedic,80,10,SA,0.9291173
1375410,2025-11-01,190SAS Skilled Australian Sponsored,312912 Metallurgical or Materials Technician,75,10,NSW,0.9290125
1700854,2026-02-01,491SNR State or Territory Nominated - Regional,142115 Post Office Manager,65,10,SA,0.9285437
1656521,2026-02-01,491SNR State or Territory Nominated - Regional,312911 Maintenance Planner,70,10,ACT,0.9268009
1424274,2025-11-01,491SNR State or Territory Nominated - Regional,254421 Registered Nurse (Medical Practice),70,10,TAS,0.92336136
1740901,2026-02-01,491SNR State or Territory Nominated - Regional,234914 Physicist,85,10,WA,0.9184671
1471722,2025-12-01,491SNR State or Territory Nominated - Regional,121216 Mixed Crop Farmer,85,10,NSW,0.91805905
1513401,2025-12-01,190SAS Skilled Australian Sponsored,149413 Transport Company Manager,55,10,TAS,0.9179666
1609164,2026-01-01,491SNR State or Territory Nominated - Regional,411211 Dental Hygienist,80,10,SA,0.917167
1570724,2026-01-01,491SNR State or Territory Nominated - Regional,233915 Environmental Engineer,90,10,NSW,0.9166843
1598970,2026-01-01,190SAS Skilled Australian Sponsored,249214 Music Teacher (Private Tuition),80,10,SA,0.9154663
1529090,2025-12-01,190SAS Skilled Australian Sponsored,452499 Sportspersons nec,70,10,VIC,0.91519094
1675381,2026-02-01,190SAS Skilled Australian Sponsored,271299 Judicial and Other Legal Professionals nec,90,10,NT,0.9151698
1551939,2026-01-01,190SAS Skilled Australian Sponsored,234112 Agricultural Scientist,60,10,ACT,0.9124109
1661170,2026-02-01,190SAS Skilled Australian Sponsored,251312 Occupational Health and Safety Adviser,75,10,NSW,0.9110127
1612001,2026-01-01,190SAS Skilled Australian Sponsored,253312 Cardiologist,80,10,TAS,0.9109129
1403127,2025-11-01,491SNR State or Territory Nominated - Regional,323313 Locksmith,75,10,QLD,0.910763
1505468,2025-12-01,190SAS Skilled Australian Sponsored,394111 Cabinetmaker,70,10,SA,0.91026616
1625613,2026-01-01,190SAS Skilled Australian Sponsored,411611 Massage Therapist,60,10,VIC,0.9097341
1383623,2025-11-01,491SNR State or Territory Nominated - Regional,392311 Printing Machinist,65,10,NSW,0.9092274
1657051,2026-02-01,491SNR State or Territory Nominated - Regional,351211 Butcher or Smallgoods Maker,85,10,ACT,0.9091469
1392374,2025-11-01,491SNR State or Territory Nominated - Regional,611211 Insurance Agent,75,10,NT,0.90911555
1501101,2025-12-01,190SAS Skilled Australian Sponsored,232412 Illustrator,80,10,SA,0.9085792
1457686,2025-12-01,190SAS Skilled Australian Sponsored,272499 Social Professionals nec,85,10,ACT,0.90806663
1645187,2026-01-01,491SNR State or Territory Nominated - Regional,312999 Building and Engineering Technicians nec,80,10,WA,0.9070251
1698521,2026-02-01,190SAS Skilled Australian Sponsored,311312 Meat Inspector,70,10,SA,0.9065555
1495697,2025-12-01,491SNR State or Territory Nominated - Regional,234213 Wine Maker,80,10,QLD,0.90633595
1505642,2025-12-01,190SAS Skilled Australian Sponsored,452315 Swimming Coach or Instructor,85,10,SA,0.9050997
1620189,2026-01-01,190SAS Skilled Australian Sponsored,224914 Patents Examiner,50,10,VIC,0.90499324
1558940,2026-01-01,491SNR State or Territory Nominated - Regional,271214 Intellectual Property Lawyer,85,10,ACT,0.90458935
1408711,2025-11-01,190SAS Skilled Australian Sponsored,272412 Interpreter,80,10,SA,0.9042622
1458279,2025-12-01,190SAS Skilled Australian Sponsored,323412 Toolmaker,55,10,ACT,0.90391797
