,As At Month,Visa Type,Occupation,Points,Count EOIs,Nominated State,Probabilitas_Lodged
1464107,2025-12-01,491SNR State or Territory Nominated - Regional,411111 Ambulance Officer,75,10,ACT,0.90265834
1441751,2025-11-01,190SAS Skilled Australian Sponsored,232213 Cartographer,55,10,WA,0.9024211
1427579,2025-11-01,190SAS Skilled Australian Sponsored,224311 Economist,90,10,VIC,0.9016756
1697213,2026-02-01,190SAS Skilled Australian Sponsored,254211 Nurse Educator,70,10,SA,0.90063596
1490326,2025-12-01,190SAS Skilled Australian Sponsored,251211 Medical Diagnostic Radiographer,85,10,QLD,0.8990358
1395513,2025-11-01,190SAS Skilled Australian Sponsored,253311 Specialist Physician (General Medicine),70,10,QLD,0.8977083
1739988,2026-02-01,491SNR State or Territory Nominated - Regional,233215 Transport Engineer,55,10,WA,0.896847
1686080,2026-02-01,190SAS Skilled Australian Sponsored,312312 Electrical Engineering Technician,80,10,QLD,0.89655924
1655021,2026-02-01,491SNR State or Territory Nominated - Regional,254413 Registered Nurse (Child and Family Health),65,10,ACT,0.89418554
1396046,2025-11-01,190SAS Skilled Australian Sponsored,261212 Web Developer,105,10,QLD,0.8939258
1380673,2025-11-01,491SNR State or Territory Nominated - Regional,252312 Dentist,95,10,NSW,0.8921886
1389357,2025-11-01,491SNR State or Territory Nominated - Regional,233112 Materials Engineer,60,10,NT,0.8890441
1669896,2026-02-01,491SNR State or Territory Nominated - Regional,263113 Network Analyst,60,10,NSW,0.88777375
1650744,2026-02-01,190SAS Skilled Australian Sponsored,311413 Life Science Technician,80,10,ACT,0.88709605
1600696,2026-01-01,190SAS Skilled Australian Sponsored,311212 Cardiac Technician,50,10,SA,0.8858915
1654894,2026-02-01,491SNR State or Territory Nominated - Regional,252299 Complementary Health Therapists nec,75,10,ACT,0.8851292
1550184,2026-01-01,190SAS Skilled Australian Sponsored,134499 Education Managers nec,80,10,ACT,0.88509065
1454452,2025-12-01,190SAS Skilled Australian Sponsored,212415 Technical Writer,85,10,ACT,0.8850266
1505262,2025-12-01,190SAS Skilled Australian Sponsored,342315 Electronic Instrument Trades Worker (Special Class),60,10,SA,0.8845528
1405035,2025-11-01,190SAS Skilled Australian Sponsored,222113 Insurance Broker,80,10,SA,0.88155377
1456109,2025-12-01,190SAS Skilled Australian Sponsored,234599 Life Scientists nec,105,10,ACT,0.8794489
1460135,2025-12-01,491SNR State or Territory Nominated - Regional,224412 Policy Analyst,95,10,ACT,0.8786706
1505475,2025-12-01,190SAS Skilled Australian Sponsored,394213 Wood Machinist,70,10,SA,0.87787163
1458959,2025-12-01,491SNR State or Territory Nominated - Regional,132411 Policy and Planning Manager,80,10,ACT,0.8742952
1397805,2025-11-01,190SAS Skilled Australian Sponsored,361111 Dog Handler or Trainer,85,10,QLD,0.87361264
1652466,2026-02-01,491SNR State or Territory Nominated - Regional,149914 Financial Institution Branch Manager,60,10,ACT,0.8733745
1629588,2026-01-01,491SNR State or Territory Nominated - Regional,251911 Health Promotion Officer,90,10,VIC,0.8729239
1681321,2026-02-01,190SAS Skilled Australian Sponsored,131113 Advertising Manager,60,10,QLD,0.87236565
1433430,2025-11-01,491SNR State or Territory Nominated - Regional,121217 Sugar Cane Grower,70,10,VIC,0.867995
1403746,2025-11-01,491SNR State or Territory Nominated - Regional,411712 Disabilities Services Officer,70,10,QLD,0.8679145
1681263,2026-02-01,491SNR State or Territory Nominated - Regional,612115 Real Estate Representative,60,10,NT,0.86735314
1738007,2026-02-01,491SNR State or Territory Nominated - Regional,133112 Project Builder,80,10,WA,0.8632982
1414199,2025-11-01,491SNR State or Territory Nominated - Regional,251999 Health Diagnostic and Promotion Professionals nec,65,10,SA,0.8631568
1686372,2026-02-01,190SAS Skilled Australian Sponsored,323112 Aircraft Maintenance Engineer (Mechanical),80,10,QLD,0.86223817
1412602,2025-11-01,491SNR State or Territory Nominated - Regional,232413 Multimedia Designer,85,10,SA,0.86061347
1603231,2026-01-01,491SNR State or Territory Nominated - Regional,211112 Dancer or Choreographer,90,10,SA,0.8498546
1409964,2025-11-01,190SAS Skilled Australian Sponsored,361199 Animal Attendants and Trainers nec,65,10,SA,0.84923345
1625106,2026-01-01,190SAS Skilled Australian Sponsored,333212 Solid Plasterer,70,10,VIC,0.8444728
1504280,2025-12-01,190SAS Skilled Australian Sponsored,311299 Medical Technicians nec,55,10,SA,0.8439118
1442815,2025-11-01,190SAS Skilled Australian Sponsored,234513 Biochemist,55,10,WA,0.8414366
1505421,2025-12-01,190SAS Skilled Australian Sponsored,362211 Gardener (General),65,10,SA,0.8409779
1694712,2026-02-01,190SAS Skilled Australian Sponsored,224112 Mathematician,85,10,SA,0.8404914
1719205,2026-02-01,190SAS Skilled Australian Sponsored,233912 Agricultural Engineer,60,10,VIC,0.8391451
1718019,2026-02-01,190SAS Skilled Australian Sponsored,224212 Gallery or Museum Curator,85,10,VIC,0.8384253
1644248,2026-01-01,491SNR State or Territory Nominated - Regional,271111 Barrister,90,10,WA,0.8343862
1595039,2026-01-01,491SNR State or Territory Nominated - Regional,334114 Gasfitter,60,10,QLD,0.83156663
1426989,2025-11-01,190SAS Skilled Australian Sponsored,212411 Copywriter,95,10,VIC,0.83116364
1467079,2025-12-01,190SAS Skilled Australian Sponsored,233916 Naval Architect,65,10,NSW,0.82980835
1621581,2026-01-01,190SAS Skilled Australian Sponsored,234412 Geophysicist,85,10,VIC,0.8256489
1696947,2026-02-01,190SAS Skilled Australian Sponsored,251912 Orthotist or Prosthetist,75,10,SA,0.8236465
1696833,2026-02-01,190SAS Skilled Australian Sponsored,251411 Optometrist,75,10,SA,0.8236388
1567470,2026-01-01,190SAS Skilled Australian Sponsored,399111 Boat Builder and Repairer,85,10,NSW,0.8220947
1652274,2026-02-01,491SNR State or Territory Nominated - Regional,139915 Sports Administrator,75,10,ACT,0.82197344
1704169,2026-02-01,491SNR State or Territory Nominated - Regional,253211 Anaesthetist,100,10,SA,0.82137907
1498020,2025-12-01,491SNR State or Territory Nominated - Regional,312611 Safety Inspector,60,10,QLD,0.8197989
1408637,2025-11-01,190SAS Skilled Australian Sponsored,272114 Rehabilitation Counsellor,80,10,SA,0.8195536
1604479,2026-01-01,491SNR State or Territory Nominated - Regional,232311 Fashion Designer,100,10,SA,0.81917995
1405257,2025-11-01,190SAS Skilled Australian Sponsored,224213 Health Information Manager,80,10,SA,0.8181854
1534643,2025-12-01,491SNR State or Territory Nominated - Regional,312116 Surveying or Spatial Science Technician,65,10,VIC,0.81801456
1385957,2025-11-01,190SAS Skilled Australian Sponsored,241511 Special Needs Teacher,70,10,NT,0.81633925
1525431,2025-12-01,190SAS Skilled Australian Sponsored,249211 Art Teacher (Private Tuition),65,10,VIC,0.81260866
1598596,2026-01-01,190SAS Skilled Australian Sponsored,234516 Marine Biologist,95,10,SA,0.8100432
1706894,2026-02-01,491SNR State or Territory Nominated - Regional,362212 Arborist,75,10,SA,0.80565155
1700679,2026-02-01,491SNR State or Territory Nominated - Regional,139912 Environmental Manager,55,10,SA,0.8052649
1572045,2026-01-01,491SNR State or Territory Nominated - Regional,254417 Registered Nurse (Disability and Rehabilitation),80,10,NSW,0.8049302
1527919,2025-12-01,190SAS Skilled Australian Sponsored,312913 Mine Deputy,50,10,VIC,0.79828817
1703899,2026-02-01,491SNR State or Territory Nominated - Regional,251412 Orthoptist,65,10,SA,0.7949928
1460291,2025-12-01,491SNR State or Territory Nominated - Regional,225112 Market Research Analyst,65,10,ACT,0.7923238
1375616,2025-11-01,190SAS Skilled Australian Sponsored,321213 Motorcycle Mechanic,70,10,NSW,0.791429
1694768,2026-02-01,190SAS Skilled Australian Sponsored,224214 Records Manager,50,10,SA,0.7905972
1417712,2025-11-01,190SAS Skilled Australian Sponsored,139999 Specialist Managers nec,70,10,TAS,0.7888822
1412041,2025-11-01,491SNR State or Territory Nominated - Regional,224611 Librarian,60,10,SA,0.78693986
1432637,2025-11-01,190SAS Skilled Australian Sponsored,333311 Roof Tiler,75,10,VIC,0.7838625
1405728,2025-11-01,190SAS Skilled Australian Sponsored,232312 Industrial Designer,80,10,SA,0.7830069
1600553,2026-01-01,190SAS Skilled Australian Sponsored,272311 Clinical Psychologist,65,10,SA,0.78188455
1480703,2025-12-01,190SAS Skilled Australian Sponsored,234399 Environmental Scientists nec,65,10,NT,0.78164536
1618112,2026-01-01,491SNR State or Territory Nominated - Regional,331213 Joiner,65,10,TAS,0.77917624
1424145,2025-11-01,491SNR State or Territory Nominated - Regional,252611 Podiatrist,90,10,TAS,0.778968
1552187,2026-01-01,190SAS Skilled Australian Sponsored,234518 Zoologist,70,10,ACT,0.7775027
1404750,2025-11-01,190SAS Skilled Australian Sponsored,212318 Video Producer,80,10,SA,0.7732847
1409714,2025-11-01,190SAS Skilled Australian Sponsored,334113 Drainer,80,10,SA,0.7732557
1412019,2025-11-01,491SNR State or Territory Nominated - Regional,224511 Land Economist,80,10,SA,0.7722849
1533179,2025-12-01,491SNR State or Territory Nominated - Regional,254414 Registered Nurse (Community Health),90,10,VIC,0.7706194
1399701,2025-11-01,491SNR State or Territory Nominated - Regional,232313 Jewellery Designer,70,10,QLD,0.7687618
1493915,2025-12-01,491SNR State or Territory Nominated - Regional,141211 Caravan Park and Camping Ground Manager,80,10,QLD,0.76853555
1408938,2025-11-01,190SAS Skilled Australian Sponsored,311412 Earth Science Technician,80,10,SA,0.7659217
1433220,2025-11-01,190SAS Skilled Australian Sponsored,452311 Diving Instructor (Open Water),65,10,VIC,0.76471746
1694182,2026-02-01,190SAS Skilled Australian Sponsored,211311 Photographer,90,10,SA,0.7646549
1563969,2026-01-01,190SAS Skilled Australian Sponsored,241599 Special Education Teachers nec,60,10,NSW,0.76431996
1663865,2026-02-01,190SAS Skilled Australian Sponsored,324111 Panelbeater,60,10,NSW,0.7634311
1614322,2026-01-01,491SNR State or Territory Nominated - Regional,149112 Fitness Centre Manager,55,10,TAS,0.7633321
1729314,2026-02-01,491SNR State or Territory Nominated - Regional,311214 Operating Theatre Technician,60,10,VIC,0.75812465
1376370,2025-11-01,190SAS Skilled Australian Sponsored,393213 Dressmaker or Tailor,65,10,NSW,0.7579912
1378408,2025-11-01,491SNR State or Territory Nominated - Regional,224512 Valuer,90,10,NSW,0.75798637
1410230,2025-11-01,190SAS Skilled Australian Sponsored,452411 Footballer,65,10,SA,0.75169444
1505410,2025-12-01,190SAS Skilled Australian Sponsored,361311 Veterinary Nurse,75,10,SA,0.75124985
1734636,2026-02-01,190SAS Skilled Australian Sponsored,253313 Clinical Haematologist,75,10,WA,0.7502862
1719628,2026-02-01,190SAS Skilled Australian Sponsored,234413 Hydrogeologist,60,10,VIC,0.75023514
1459121,2025-12-01,491SNR State or Territory Nominated - Regional,134111 Child Care Centre Manager,85,10,ACT,0.748467
1724861,2026-02-01,491SNR State or Territory Nominated - Regional,211212 Music Director,65,10,VIC,0.74762344
1601307,2026-01-01,190SAS Skilled Australian Sponsored,322211 Sheetmetal Trades Worker,60,10,SA,0.74715096
1601391,2026-01-01,190SAS Skilled Australian Sponsored,323113 Aircraft Maintenance Engineer (Structures),75,10,SA,0.7435928
1438317,2025-11-01,491SNR State or Territory Nominated - Regional,272313 Organisational Psychologist,80,10,VIC,0.74096453
1427326,2025-11-01,190SAS Skilled Australian Sponsored,222211 Financial Market Dealer,90,10,VIC,0.7404015
1429768,2025-11-01,190SAS Skilled Australian Sponsored,251112 Nutritionist,75,10,VIC,0.7351859
1468486,2025-12-01,190SAS Skilled Australian Sponsored,253912 Emergency Medicine Specialist,85,10,NSW,0.73200345
1411277,2025-11-01,491SNR State or Territory Nominated - Regional,211213 Musician (Instrumental),75,10,SA,0.7281637
1405042,2025-11-01,190SAS Skilled Australian Sponsored,222199 Financial Brokers nec,65,10,SA,0.7259625
1535717,2025-12-01,491SNR State or Territory Nominated - Regional,362111 Florist,75,10,VIC,0.7258935
1416318,2025-11-01,491SNR State or Territory Nominated - Regional,322312 Pressure Welder,75,10,SA,0.7170142
1711716,2026-02-01,190SAS Skilled Australian Sponsored,639211 Retail Buyer,65,10,TAS,0.7151917
1698932,2026-02-01,190SAS Skilled Australian Sponsored,313211 Radiocommunications Technician,60,10,SA,0.71187985
1694558,2026-02-01,190SAS Skilled Australian Sponsored,222213 Stockbroking Dealer,65,10,SA,0.7081138
1608888,2026-01-01,491SNR State or Territory Nominated - Regional,342411 Cabler (Data and Telecommunications),60,10,SA,0.70481646
1475097,2025-12-01,491SNR State or Territory Nominated - Regional,234915 Exercise Physiologist,105,10,NSW,0.7039671
1467815,2025-12-01,190SAS Skilled Australian Sponsored,241513 Teacher of the Sight Impaired,80,10,NSW,0.70225394
1630875,2026-01-01,491SNR State or Territory Nominated - Regional,272312 Educational Psychologist,70,10,VIC,0.69710815
1552499,2026-01-01,190SAS Skilled Australian Sponsored,251111 Dietitian,70,10,ACT,0.6970828
1520672,2025-12-01,491SNR State or Territory Nominated - Regional,272112 Drug and Alcohol Counsellor,70,10,TAS,0.69327366
1436426,2025-11-01,491SNR State or Territory Nominated - Regional,234515 Botanist,65,10,VIC,0.6901119
1405077,2025-11-01,190SAS Skilled Australian Sponsored,222299 Financial Dealers nec,80,10,SA,0.68939936
1622445,2026-01-01,190SAS Skilled Australian Sponsored,252111 Chiropractor,65,10,VIC,0.6882899
1652059,2026-02-01,491SNR State or Territory Nominated - Regional,134211 Medical Administrator,90,10,ACT,0.6800668
1744663,2026-02-01,491SNR State or Territory Nominated - Regional,392111 Print Finisher,95,10,WA,0.67821527
1696433,2026-02-01,190SAS Skilled Australian Sponsored,234912 Metallurgist,85,10,SA,0.67609143
1723812,2026-02-01,190SAS Skilled Australian Sponsored,411716 Youth Worker,85,10,VIC,0.6714306
1426666,2025-11-01,190SAS Skilled Australian Sponsored,139913 Laboratory Manager,95,10,VIC,0.6709944
1554694,2026-01-01,190SAS Skilled Australian Sponsored,411213 Dental Technician,75,10,ACT,0.6650559
1699868,2026-02-01,190SAS Skilled Australian Sponsored,411713 Family Support Worker,55,10,SA,0.66391563
1442598,2025-11-01,190SAS Skilled Australian Sponsored,234113 Forester,95,10,WA,0.64799494
1569834,2026-01-01,491SNR State or Territory Nominated - Regional,231213 Ship's Master,80,10,NSW,0.6478817
1415986,2025-11-01,491SNR State or Territory Nominated - Regional,312511 Mechanical Engineering Draftsperson,50,10,SA,0.6446811
1538958,2025-12-01,190SAS Skilled Australian Sponsored,234913 Meteorologist,65,10,WA,0.6286198
1525811,2025-12-01,190SAS Skilled Australian Sponsored,252311 Dental Specialist,95,10,VIC,0.6252855
1429798,2025-11-01,190SAS Skilled Australian Sponsored,251212 Medical Radiation Therapist,70,10,VIC,0.62473834
1724341,2026-02-01,491SNR State or Territory Nominated - Regional,133511 Production Manager (Forestry),65,10,VIC,0.6240915
1700558,2026-02-01,491SNR State or Territory Nominated - Regional,134214 Welfare Centre Manager,80,10,SA,0.61908185
1668679,2026-02-01,491SNR State or Territory Nominated - Regional,251311 Environmental Health Officer,80,10,NSW,0.6178248
1470420,2025-12-01,190SAS Skilled Australian Sponsored,313199 ICT Support Technicians nec,55,10,NSW,0.61439604
1629091,2026-01-01,491SNR State or Territory Nominated - Regional,234999 Natural and Physical Science Professionals nec,70,10,VIC,0.6102333
1622838,2026-01-01,190SAS Skilled Australian Sponsored,254411 Nurse Practitioner,75,10,VIC,0.5918424
1417219,2025-11-01,491SNR State or Territory Nominated - Regional,452317 Other Sports Coach or Instructor,65,10,SA,0.5884007
1564652,2026-01-01,190SAS Skilled Australian Sponsored,253913 Obstetrician and Gynaecologist,70,10,NSW,0.58794916
1530220,2025-12-01,491SNR State or Territory Nominated - Regional,212499 Journalists and Other Writers nec,105,10,VIC,0.5864122
1701034,2026-02-01,491SNR State or Territory Nominated - Regional,212212 Book or Script Editor,70,10,SA,0.5851177
1390051,2025-11-01,491SNR State or Territory Nominated - Regional,234911 Conservator,80,10,NT,0.56688344
1376179,2025-11-01,190SAS Skilled Australian Sponsored,342413 Telecommunications Linesworker,70,10,NSW,0.5660552
1386243,2025-11-01,190SAS Skilled Australian Sponsored,253411 Psychiatrist,85,10,NT,0.5459243
1464775,2025-12-01,190SAS Skilled Australian Sponsored,134212 Nursing Clinical Director,55,10,NSW,0.5329243
1398042,2025-11-01,190SAS Skilled Australian Sponsored,452316 Tennis Coach,80,10,QLD,0.5302848
1465333,2025-12-01,190SAS Skilled Australian Sponsored,212416 Television Journalist,65,10,NSW,0.5280721
1661337,2026-02-01,190SAS Skilled Australian Sponsored,252112 Osteopath,70,10,NSW,0.5249038
1376836,2025-11-01,491SNR State or Territory Nominated - Regional,121399 Livestock Farmers nec,65,10,NSW,0.5240251
1471791,2025-12-01,491SNR State or Territory Nominated - Regional,121411 Mixed Crop and Livestock Farmer,65,10,NSW,0.5240251
1598888,2026-01-01,190SAS Skilled Australian Sponsored,241512 Teacher of the Hearing Impaired,75,10,SA,0.52046156
1519264,2025-12-01,491SNR State or Territory Nominated - Regional,234311 Conservation Officer,80,10,TAS,0.51808745
1547730,2025-12-01,491SNR State or Territory Nominated - Regional,272413 Translator,105,10,WA,0.51705325
1481239,2025-12-01,190SAS Skilled Australian Sponsored,253318 Neurologist,55,10,NT,0.50672877
1493967,2025-12-01,491SNR State or Territory Nominated - Regional,149111 Amusement Centre Manager,95,10,QLD,0.5043749
1531080,2025-12-01,491SNR State or Territory Nominated - Regional,231111 Aeroplane Pilot,60,10,VIC,0.49101195
1427022,2025-11-01,190SAS Skilled Australian Sponsored,212413 Print Journalist,90,10,VIC,0.48318988
1587091,2026-01-01,190SAS Skilled Australian Sponsored,253511 Surgeon (General),85,10,QLD,0.46290866
1609069,2026-01-01,491SNR State or Territory Nominated - Regional,362213 Landscape Gardener,75,10,SA,0.45162985
1505794,2025-12-01,491SNR State or Territory Nominated - Regional,121213 Fruit or Nut Grower,60,10,SA,0.4459743
1720311,2026-02-01,190SAS Skilled Australian Sponsored,251214 Sonographer,85,10,VIC,0.44543976
1464227,2025-12-01,491SNR State or Territory Nominated - Regional,441211 Emergency Service Worker,70,10,ACT,0.44413066
1657153,2026-02-01,491SNR State or Territory Nominated - Regional,362411 Nurseryperson,90,10,ACT,0.44166073
1417410,2025-11-01,190SAS Skilled Australian Sponsored,121212 Flower Grower,90,10,TAS,0.4374788
1403630,2025-11-01,491SNR State or Territory Nominated - Regional,399112 Shipwright,80,10,QLD,0.4308025
1425901,2025-11-01,491SNR State or Territory Nominated - Regional,399212 Gas or Petroleum Operator,65,10,TAS,0.41901904
1472131,2025-12-01,491SNR State or Territory Nominated - Regional,133612 Procurement Manager,60,10,NSW,0.4131122
1577440,2026-01-01,190SAS Skilled Australian Sponsored,253316 Gastroenterologist,65,10,NT,0.40324494
1398906,2025-11-01,491SNR State or Territory Nominated - Regional,212412 Newspaper or Periodical Editor,70,10,QLD,0.40312868
1410360,2025-11-01,491SNR State or Territory Nominated - Regional,"121214 Grain, Oilseed or Pasture Grower",70,10,SA,0.40206566
1426908,2025-11-01,190SAS Skilled Australian Sponsored,212111 Artistic Director,90,10,VIC,0.39632744
1411141,2025-11-01,491SNR State or Territory Nominated - Regional,149113 Sports Centre Manager,75,10,SA,0.38836104
1440075,2025-11-01,491SNR State or Territory Nominated - Regional,451815 First Aid Trainer,65,10,VIC,0.37720388
1376727,2025-11-01,491SNR State or Territory Nominated - Regional,121111 Aquaculture Farmer,65,10,NSW,0.37337595
1595644,2026-01-01,491SNR State or Territory Nominated - Regional,599915 Clinical Coder,90,10,QLD,0.36416698
1433486,2025-11-01,491SNR State or Territory Nominated - Regional,121322 Sheep Farmer,80,10,VIC,0.3429859
1622737,2026-01-01,190SAS Skilled Australian Sponsored,253512 Cardiothoracic Surgeon,70,10,VIC,0.34131077
1657558,2026-02-01,190SAS Skilled Australian Sponsored,121311 Apiarist,60,10,NSW,0.33756098
1373292,2025-11-01,190SAS Skilled Australian Sponsored,252211 Acupuncturist,65,10,NSW,0.33629653
1699746,2026-02-01,190SAS Skilled Australian Sponsored,399599 Performing Arts Technicians nec,75,10,SA,0.33431697
1512761,2025-12-01,491SNR State or Territory Nominated - Regional,452312 Gymnastics Coach or Instructor,90,10,SA,0.33207747
1525783,2025-12-01,190SAS Skilled Australian Sponsored,252213 Naturopath,75,10,VIC,0.32743037
1453430,2025-11-01,491SNR State or Territory Nominated - Regional,399213 Power Generation Plant Operator,70,10,WA,0.32534352
1404704,2025-11-01,190SAS Skilled Australian Sponsored,"212312 Director (Film, Television, Radio or Stage)",60,10,SA,0.31230432
1419471,2025-11-01,190SAS Skilled Australian Sponsored,249212 Dance Teacher (Private Tuition),70,10,TAS,0.3106377
1680969,2026-02-01,491SNR State or Territory Nominated - Regional,361114 Zookeeper,85,10,NT,0.3084222
1697162,2026-02-01,190SAS Skilled Australian Sponsored,253517 Plastic and Reconstructive Surgeon,60,10,SA,0.3067431
1409721,2025-11-01,190SAS Skilled Australian Sponsored,334115 Roof Plumber,70,10,SA,0.30446178
1602446,2026-01-01,491SNR State or Territory Nominated - Regional,131114 Public Relations Manager,75,10,SA,0.30063236
1700127,2026-02-01,491SNR State or Territory Nominated - Regional,121313 Dairy Cattle Farmer,65,10,SA,0.29579347
1706508,2026-02-01,491SNR State or Territory Nominated - Regional,333211 Fibrous Plasterer,70,10,SA,0.2938958
1699873,2026-02-01,190SAS Skilled Australian Sponsored,411715 Residential Care Officer,35,10,SA,0.29267776
1661550,2026-02-01,190SAS Skilled Australian Sponsored,253317 Intensive Care Specialist,95,10,NSW,0.28645766
1534137,2025-12-01,491SNR State or Territory Nominated - Regional,272113 Family and Marriage Counsellor,75,10,VIC,0.28198877
1505813,2025-12-01,491SNR State or Territory Nominated - Regional,121215 Grape Grower,85,10,SA,0.27396438
1430249,2025-11-01,190SAS Skilled Australian Sponsored,253322 Renal Medicine Specialist,80,10,VIC,0.27377045
1697218,2026-02-01,190SAS Skilled Australian Sponsored,254311 Nurse Manager,65,10,SA,0.272396
1599451,2026-01-01,190SAS Skilled Australian Sponsored,253917 Diagnostic and Interventional Radiologist,90,10,SA,0.27038178
1681034,2026-02-01,491SNR State or Territory Nominated - Regional,411214 Dental Therapist,70,10,NT,0.26879448
1723832,2026-02-01,190SAS Skilled Australian Sponsored,452313 Horse Riding Coach or Instructor,65,10,VIC,0.26408753
1426049,2025-11-01,491SNR State or Territory Nominated - Regional,452413 Jockey,70,10,TAS,0.25840655
1707146,2026-02-01,491SNR State or Territory Nominated - Regional,451711 Flight Attendant,95,10,SA,0.25750387
1539677,2025-12-01,190SAS Skilled Australian Sponsored,253399 Specialist Physicians nec,65,10,WA,0.25084087
1512020,2025-12-01,491SNR State or Territory Nominated - Regional,324311 Vehicle Painter,65,10,SA,0.25000745
1462989,2025-12-01,491SNR State or Territory Nominated - Regional,272611 Community Arts Worker,70,10,ACT,0.24527714
1700126,2026-02-01,491SNR State or Territory Nominated - Regional,121312 Beef Cattle Farmer,100,10,SA,0.24508995
1487386,2025-12-01,491SNR State or Territory Nominated - Regional,451211 Driving Instructor,70,10,NT,0.2358137
1407238,2025-11-01,190SAS Skilled Australian Sponsored,251213 Nuclear Medicine Technologist,65,10,SA,0.23175073
1390488,2025-11-01,491SNR State or Territory Nominated - Regional,253518 Urologist,90,10,NT,0.22349082
1404740,2025-11-01,190SAS Skilled Australian Sponsored,212317 Technical Director,55,10,SA,0.22064343
1376795,2025-11-01,491SNR State or Territory Nominated - Regional,121299 Crop Farmers nec,85,10,NSW,0.21950449
1458572,2025-12-01,190SAS Skilled Australian Sponsored,399411 Jeweller,70,10,ACT,0.21857847
1619371,2026-01-01,190SAS Skilled Australian Sponsored,211299 Music Professionals nec,80,10,VIC,0.21534681
1613615,2026-01-01,190SAS Skilled Australian Sponsored,362311 Greenkeeper,65,10,TAS,0.20939186
1383355,2025-11-01,491SNR State or Territory Nominated - Regional,342311 Business Machine Mechanic,70,10,NSW,0.20618473
1459198,2025-12-01,491SNR State or Territory Nominated - Regional,134412 Regional Education Manager,90,10,ACT,0.19430326
1430277,2025-11-01,190SAS Skilled Australian Sponsored,253911 Dermatologist,75,10,VIC,0.18942116
1609134,2026-01-01,491SNR State or Territory Nominated - Regional,"399512 Camera Operator (Film, Television or Video)",65,10,SA,0.15903223
1717426,2026-02-01,190SAS Skilled Australian Sponsored,212316 Stage Manager,90,10,VIC,0.1533708
1564590,2026-01-01,190SAS Skilled Australian Sponsored,253314 Medical Oncologist,70,10,NSW,0.15087584
1684535,2026-02-01,190SAS Skilled Australian Sponsored,253515 Otorhinolaryngologist,75,10,QLD,0.14906017
1490724,2025-12-01,190SAS Skilled Australian Sponsored,253514 Orthopaedic Surgeon,90,10,QLD,0.14737733
1657192,2026-02-01,491SNR State or Territory Nominated - Regional,399516 Sound Technician,75,10,ACT,0.14015152
1684508,2026-02-01,190SAS Skilled Australian Sponsored,253321 Paediatrician,75,10,QLD,0.13880783
1430011,2025-11-01,190SAS Skilled Australian Sponsored,252214 Traditional Chinese Medicine Practitioner,65,10,VIC,0.13727209
1375619,2025-11-01,190SAS Skilled Australian Sponsored,321214 Small Engine Mechanic,85,10,NSW,0.13537283
1636406,2026-01-01,190SAS Skilled Australian Sponsored,253918 Radiation Oncologist,90,10,WA,0.13055634
1702128,2026-02-01,491SNR State or Territory Nominated - Regional,231113 Flying Instructor,70,10,SA,0.12938179
1403642,2025-11-01,491SNR State or Territory Nominated - Regional,399514 Make Up Artist,70,10,QLD,0.11372121
1451565,2025-11-01,491SNR State or Territory Nominated - Regional,272111 Careers Counsellor,85,10,WA,0.112859465
1734690,2026-02-01,190SAS Skilled Australian Sponsored,253915 Pathologist,75,10,WA,0.09791251
1468453,2025-12-01,190SAS Skilled Australian Sponsored,253324 Thoracic Medicine Specialist,80,10,NSW,0.094870776
1398216,2025-11-01,491SNR State or Territory Nominated - Regional,121317 Mixed Livestock Farmer,70,10,QLD,0.06644912
1666870,2026-02-01,491SNR State or Territory Nominated - Regional,231114 Helicopter Pilot,75,10,NSW,0.06066916
1539712,2025-12-01,190SAS Skilled Australian Sponsored,253914 Ophthalmologist,85,10,WA,0.05255405
1567916,2026-01-01,491SNR State or Territory Nominated - Regional,121318 Pig Farmer,75,10,NSW,0.02708261
1373542,2025-11-01,190SAS Skilled Australian Sponsored,253516 Paediatric Surgeon,90,10,NSW,0.024726482
1498484,2025-12-01,491SNR State or Territory Nominated - Regional,332111 Floor Finisher,70,10,QLD,0.014253123
1554898,2026-01-01,491SNR State or Territory Nominated - Regional,121211 Cotton Grower,100,10,ACT,0.013657585
1722879,2026-02-01,190SAS Skilled Australian Sponsored,322113 Farrier,80,10,VIC,0.0071643554
